steps,reward
694000.0,17.47
696000.0,16.34
698000.0,15.53
700000.0,17.16
702000.0,0.77
704000.0,4.81
706000.0,5.85
708000.0,16.85
710000.0,14.77
712000.0,17.09
714000.0,16.02
716000.0,14.06
718000.0,12.07
720000.0,13.67
722000.0,18.56
724000.0,18.96
726000.0,17.45
728000.0,16.6
730000.0,11.3
732000.0,11.96
734000.0,10.14
736000.0,2.27
738000.0,20.24
740000.0,11.89
742000.0,15.08
744000.0,17.26
746000.0,-13.12
748000.0,17.08
750000.0,11.92
752000.0,15.75
754000.0,12.58
756000.0,19.28
758000.0,16.39
760000.0,7.81
762000.0,17.45
764000.0,18.2
766000.0,15.26
768000.0,3.62
770000.0,18.38
772000.0,17.02
774000.0,20.45
776000.0,19.17
778000.0,11.3
780000.0,14.6
782000.0,13.89
784000.0,13.18
786000.0,10.75
788000.0,14.84
790000.0,16.19
792000.0,10.15
794000.0,20.54
796000.0,11.3
798000.0,13.06
800000.0,16.69
