steps,reward
706000.0,15.02
708000.0,15.48
710000.0,19.97
712000.0,18.84
714000.0,11.0
716000.0,20.14
718000.0,5.87
720000.0,16.63
722000.0,16.26
724000.0,16.21
726000.0,16.13
728000.0,17.92
730000.0,20.63
732000.0,13.12
734000.0,1.99
736000.0,17.71
738000.0,10.33
740000.0,8.77
742000.0,16.76
744000.0,13.5
746000.0,18.91
748000.0,16.46
750000.0,18.87
752000.0,17.36
754000.0,16.53
756000.0,18.0
758000.0,19.44
760000.0,14.0
762000.0,19.52
764000.0,11.22
766000.0,14.13
768000.0,16.59
770000.0,7.02
772000.0,11.95
774000.0,16.84
776000.0,11.69
778000.0,18.04
780000.0,11.37
782000.0,13.09
784000.0,14.43
786000.0,13.4
788000.0,10.07
790000.0,18.29
792000.0,18.41
794000.0,19.33
796000.0,18.0
798000.0,20.62
800000.0,14.43
